Model,MSE,R2,MAE
K-Nearest Neighbors,809411382272.0698,0.03906426879698022,203594.10589266627
Linear Regression,804555301640.489,0.04482942295059489,203000.7934404823
Decision Tree,865336835777.4681,-0.027330604976868456,258150.93573970607
Random Forest,806405771490.8873,0.04263253934145894,197927.9326884184
